"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 12 00:26:32 GMT 2023","Fri May 12 00:26:33 GMT 2023","1652","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Fri May 12 00:26:28 GMT 2023","Fri May 12 00:26:31 GMT 2023","2888","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Fri May 12 00:26:28 GMT 2023","Fri May 12 00:26:35 GMT 2023","6423","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
