"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 04 00:26:58 GMT 2023","Thu May 04 00:27:00 GMT 2023","1590","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Thu May 04 00:26:56 GMT 2023","Thu May 04 00:26:58 GMT 2023","2156","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Thu May 04 00:26:56 GMT 2023","Thu May 04 00:26:59 GMT 2023","3256","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
