"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 27 00:25:24 GMT 2023","Fri Oct 27 00:25:26 GMT 2023","1919","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Fri Oct 27 00:25:22 GMT 2023","Fri Oct 27 00:25:26 GMT 2023","4380","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Fri Oct 27 00:25:22 GMT 2023","Fri Oct 27 00:25:24 GMT 2023","2668","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
