"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 11 00:26:21 GMT 2023","Thu May 11 00:26:25 GMT 2023","3436","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Thu May 11 00:26:24 GMT 2023","Thu May 11 00:26:25 GMT 2023","1711","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Thu May 11 00:26:21 GMT 2023","Thu May 11 00:26:23 GMT 2023","2126","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
