"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 03 00:33:21 GMT 2023","Sat Jun 03 00:33:22 GMT 2023","1656","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Sat Jun 03 00:33:18 GMT 2023","Sat Jun 03 00:33:21 GMT 2023","2463","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Sat Jun 03 00:33:18 GMT 2023","Sat Jun 03 00:33:22 GMT 2023","3746","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
