"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 10 00:29:58 GMT 2023","Thu Aug 10 00:29:59 GMT 2023","1499","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Thu Aug 10 00:29:56 GMT 2023","Thu Aug 10 00:29:58 GMT 2023","1942","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Thu Aug 10 00:29:56 GMT 2023","Thu Aug 10 00:29:59 GMT 2023","3350","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
