"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 18 00:26:02 GMT 2023","Mon Sep 18 00:26:06 GMT 2023","4446","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Mon Sep 18 00:26:02 GMT 2023","Mon Sep 18 00:26:05 GMT 2023","2892","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Mon Sep 18 00:26:05 GMT 2023","Mon Sep 18 00:26:07 GMT 2023","1931","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
