"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 00:26:13 GMT 2023","Fri May 05 00:26:18 GMT 2023","4728","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Fri May 05 00:26:17 GMT 2023","Fri May 05 00:26:18 GMT 2023","1908","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Fri May 05 00:26:13 GMT 2023","Fri May 05 00:26:16 GMT 2023","2927","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
