"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 18 00:26:27 GMT 2023","Sat Nov 18 00:26:30 GMT 2023","2287","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Sat Nov 18 00:26:27 GMT 2023","Sat Nov 18 00:26:29 GMT 2023","1469","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Sat Nov 18 00:26:29 GMT 2023","Sat Nov 18 00:26:30 GMT 2023","982","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
