"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 19 00:27:22 GMT 2023","Fri May 19 00:27:27 GMT 2023","5121","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Fri May 19 00:27:22 GMT 2023","Fri May 19 00:27:25 GMT 2023","3187","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Fri May 19 00:27:25 GMT 2023","Fri May 19 00:27:27 GMT 2023","2017","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
