"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 14 00:30:28 GMT 2023","Wed Jun 14 00:30:30 GMT 2023","1638","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Wed Jun 14 00:30:26 GMT 2023","Wed Jun 14 00:30:28 GMT 2023","2237","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Wed Jun 14 00:30:26 GMT 2023","Wed Jun 14 00:30:29 GMT 2023","3380","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
