"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 00:26:16 GMT 2024","Fri Feb 23 00:26:18 GMT 2024","2298","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Fri Feb 23 00:26:18 GMT 2024","Fri Feb 23 00:26:19 GMT 2024","1032","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Fri Feb 23 00:26:16 GMT 2024","Fri Feb 23 00:26:18 GMT 2024","1446","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
