"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 05 00:25:27 GMT 2023","Thu Oct 05 00:25:30 GMT 2023","3624","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Thu Oct 05 00:25:29 GMT 2023","Thu Oct 05 00:25:31 GMT 2023","1646","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Thu Oct 05 00:25:27 GMT 2023","Thu Oct 05 00:25:29 GMT 2023","2215","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
