"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 29 00:34:41 GMT 2023","Thu Jun 29 00:34:44 GMT 2023","2299","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Thu Jun 29 00:34:41 GMT 2023","Thu Jun 29 00:34:45 GMT 2023","3688","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Thu Jun 29 00:34:44 GMT 2023","Thu Jun 29 00:34:45 GMT 2023","1463","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
