"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 16 00:31:55 GMT 2023","Fri Jun 16 00:31:57 GMT 2023","1550","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Fri Jun 16 00:31:53 GMT 2023","Fri Jun 16 00:31:56 GMT 2023","3322","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Fri Jun 16 00:31:53 GMT 2023","Fri Jun 16 00:31:55 GMT 2023","2146","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
